field_name;parent_tag;field_tag;attribute;file
last_update;CURRICULO-VITAE;;DATA-ATUALIZACAO;researcher
ID_number;CURRICULO-VITAE;;NUMERO-IDENTIFICADOR;researcher
nationality;DADOS-GERAIS;;PAIS-DE-NACIONALIDADE;researcher
birth_country;DADOS-GERAIS;;PAIS-DE-NASCIMENTO;researcher
phd_institution;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/DOUTORADO;;NOME-INSTITUICAO;phd
phd_institution_other1;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/DOUTORADO;;NOME-INSTITUICAO-OUTRA-DOUT;phd
phd_institution_other2;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/DOUTORADO;;NOME-INSTITUICAO-DOUT;phd
phd_year;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/DOUTORADO;;ANO-DE-OBTENCAO-DO-TITULO;phd
phd_type;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/DOUTORADO;;TIPO-DOUTORADO;phd
postdoc_year;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/POS-DOUTORADO;;ANO-DE-CONCLUSAO;postdoc
postdoc_status;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/POS-DOUTORADO;;STATUS-DO-CURSO;postdoc
postdoc_institution;DADOS-GERAIS/FORMACAO-ACADEMICA-TITULACAO/POS-DOUTORADO;;NOME-INSTITUICAO;postdoc
article_status;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;NATUREZA;publication
article_language;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;IDIOMA;publication
article_scicomm;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;FLAG-DIVULGACAO-CIENTIFICA;publication
article_doi;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;DOI;publication
article_title_english;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;TITULO-DO-ARTIGO-INGLES;publication
article_country;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;PAIS-DE-PUBLICACAO;publication
article_year;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;ANO-DO-ARTIGO;publication
article_title;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DADOS-BASICOS-DO-ARTIGO;TITULO-DO-ARTIGO;publication
article_place;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DETALHAMENTO-DO-ARTIGO;LOCAL-DE-PUBLICACAO;publication
article_ISSN;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DETALHAMENTO-DO-ARTIGO;ISSN;publication
article_journal;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;DETALHAMENTO-DO-ARTIGO;TITULO-DO-PERIODICO-OU-REVISTA;publication
article_authors;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;AUTORES;NOME-COMPLETO-DO-AUTOR;publication
article_author_order;PRODUCAO-BIBLIOGRAFICA/ARTIGOS-PUBLICADOS/ARTIGO-PUBLICADO;AUTORES;ORDEM-DE-AUTORIA;publication
